iter	Passed	Remaining
842	1602	298
843	1603	296
844	1605	294
845	1606	292
846	1608	290
847	1610	288
848	1612	286
849	1613	284
850	1614	282
851	1616	280
852	1617	278
853	1618	276
854	1620	274
855	1621	272
856	1623	270
857	1625	269
858	1626	267
859	1628	265
860	1629	263
861	1631	261
862	1633	259
863	1634	257
864	1636	255
865	1637	253
866	1639	251
867	1640	249
868	1642	247
869	1643	245
870	1645	243
871	1647	241
872	1648	239
873	1650	237
874	1652	236
875	1653	234
876	1655	232
877	1657	230
878	1659	228
879	1661	226
880	1662	224
881	1663	222
882	1665	220
883	1667	218
884	1669	216
885	1670	214
886	1672	213
887	1674	211
888	1676	209
889	1678	207
890	1680	205
891	1681	203
892	1682	201
893	1684	199
894	1686	197
895	1687	195
896	1688	193
897	1689	191
898	1690	189
899	1692	188
900	1693	186
901	1694	184
902	1696	182
903	1697	180
904	1698	178
905	1699	176
906	1700	174
907	1702	172
908	1703	170
909	1704	168
910	1706	166
911	1707	164
912	1709	162
913	1710	160
914	1712	159
915	1714	157
916	1716	155
917	1718	153
918	1720	151
919	1722	149
920	1725	147
921	1727	146
922	1728	144
923	1730	142
924	1731	140
925	1733	138
926	1734	136
927	1736	134
928	1737	132
929	1740	130
930	1741	129
931	1743	127
932	1745	125
933	1747	123
934	1748	121
935	1749	119
936	1751	117
937	1752	115
938	1753	113
939	1755	112
940	1756	110
941	1758	108
942	1759	106
943	1761	104
944	1763	102
945	1764	100
946	1766	98
947	1768	96
948	1770	95
949	1773	93
950	1775	91
951	1777	89
952	1781	87
953	1783	85
954	1784	84
955	1786	82
956	1788	80
957	1790	78
958	1792	76
959	1795	74
960	1796	72
961	1798	71
962	1799	69
963	1801	67
964	1803	65
965	1804	63
966	1805	61
967	1807	59
968	1809	57
969	1811	56
970	1814	54
971	1815	52
972	1817	50
973	1818	48
974	1821	46
975	1822	44
976	1824	42
977	1825	41
978	1826	39
979	1828	37
980	1830	35
981	1832	33
982	1833	31
983	1835	29
984	1836	27
985	1838	26
986	1839	24
987	1841	22
988	1842	20
989	1844	18
990	1846	16
991	1847	14
992	1849	13
993	1851	11
994	1853	9
995	1854	7
996	1856	5
997	1857	3
998	1859	1
999	1861	0
